8024,OPEN,docker-compose "up" works but "run" fails,kind/bug,2021-01-24 20:43:21 +0000 UTC
8021,OPEN,Background container output freezes in docker-compose,,2021-01-04 17:45:21 +0000 UTC
8019,OPEN,dns_search with an empty string used to work, now fails,kind/bug,2021-01-03 18:54:08 +0000 UTC
8018,OPEN,Problem with requirements.txt caching when git repos are referenced,kind/bug,2021-01-03 02:45:13 +0000 UTC
8017,OPEN,mount volume error on Windows 10,kind/bug,2021-01-02 21:18:22 +0000 UTC
8020,OPEN,[3188] Failed to execute script docker-compose,,2021-01-04 12:23:57 +0000 UTC
8015,OPEN,Add build:cli_args to spec to remove strict coupling with CLI builds,kind/feature,2021-01-19 20:41:53 +0000 UTC
8012,OPEN,docker-compose up --build , The connection was reset (firefox), curl: (52) Empty reply from server (curl)?,kind/bug,2020-12-27 02:09:20 +0000 UTC
8011,OPEN,Integrate compose into docker repositories,kind/feature,2020-12-24 17:41:19 +0000 UTC
8010,OPEN,10 seconds to apply restart policy not working,kind/bug,2020-12-23 21:55:47 +0000 UTC
8006,OPEN,Python module dependencies break future docker compose,kind/bug,2020-12-21 19:19:00 +0000 UTC
8004,OPEN,ERROR: Invalid interpolation format for "environment",,2020-12-20 00:02:17 +0000 UTC
8003,OPEN,--await for healthcheck,kind/feature,2020-12-18 23:08:42 +0000 UTC
8002,OPEN,Volume ownership on creation inconsistent between docker and docker-compose,kind/bug,2020-12-26 09:28:15 +0000 UTC
7998,OPEN,Problem with "--name" in docker-compose run,,2020-12-16 10:31:23 +0000 UTC
7993,OPEN,Adding support for docker-compose.<context name>.override.yml and <context name>.override.env,kind/feature,2020-12-12 11:38:07 +0000 UTC
7992,OPEN,DNS may not work if network_mode is not set in the config,kind/bug,2021-02-08 10:29:36 +0000 UTC
7991,OPEN,Sticky session in docker swarm,kind/feature,2020-12-11 06:02:32 +0000 UTC
7976,OPEN,Extends not working properly for multiple compose files,kind/bug,2020-12-04 20:08:49 +0000 UTC
7973,OPEN,Invalid missing a healthcheck configuration error,kind/bug,2020-12-04 12:47:39 +0000 UTC
7972,OPEN,The deployment of this job to staging did not succeed.,kind/question,2020-12-04 11:55:15 +0000 UTC
7967,OPEN,While following logs, allow for a keystroke to stop following without needing a Ctrl-C,kind/feature,2020-12-03 03:30:32 +0000 UTC
